"AGO","BDI","BEN","BFA","BWA","CAF","CIV","CMR","COD","COG","ERI","ETH","GAB","GHA","GIN","GMB","GNB","GNQ","KEN","LBR","MLI","MOZ","MRT","MWI","NAM","NER","NGA","RWA","SEN","SLE","SOM","SSD","SWZ","TCD","TGO","TZA","UGA","ZAF","ZMB","ZWE"
6.153425,9.32328767,5.09041096,12.47671233,3.46575342,0.819178082,9.339726,11.80547945,17.74795,14.46575342,1.150684932,4341.8438356,3.92054795,16.6821918,3.45205479,0.8630137,0.230136986,2.90137,265.630137,1.454794521,5.473972603,11.43014,0.5315068,6.756164,13.6739726,7.38630137,53.52329,34.09863014,9.83013699,2.21643836,38.10685,26.0411,0.76712329,7.063013699,4.802739726,68.81918,58.3205479,77.74795,22.15342466,19.24657534
1.712329,1.20547945,116.26027397,6.20821918,0.8109589,2.128767123,50.1342466,100.90958904,14.97808,57.31232877,NA,4.1068493,459.56986301,10.4328767,4.57808219,0.08767123,0.082191781,9.643836,3.0383562,1.276712329,24.594520548,0.709589,1.517808,0.1013699,0.62465753,1.39452055,46.51781,18.72328767,34.07945205,0.07945205,0.01643836,0.06575342,0.02191781,2.95890411,12.082191781,1.712329,1.6438356,53.02192,1.60273973,1.37534247
3.641096,1.24657534,11.59452055,23.16712329,2.96712329,0.147945205,140.5643836,18.6109589,4.317808,6.1260274,0.35890411,16.8383562,7.81643836,1526.9863014,7.56438356,22.55342,0.849315068,7.857534,37.0356164,34.463013699,16.084931507,2.950685,2.627397,3.416438,4.32054795,4.29315068,466.9671,10.10410959,50.95068493,36.21369863,0.09315068,1.054795,0.69863014,1.468493151,6.169863014,11.33973,12.4410959,140.0575,8.62739726,6.12054795
6.39726,0.34794521,8.53424658,9.04931507,0.17534247,0.457534247,63,5.39178082,2.526027,3.92054795,0.024657534,3.6027397,3.38082192,11.0082192,NA,3.487671,0.931506849,0.2328767,1.9287671,1.304109589,56.547945205,1.59726,3.569863,0.06027397,0.09863014,2.35342466,6.539726,1.44657534,116.82739726,2.68767123,0.008219178,0.02739726,NA,1.095890411,4.989041096,0.6575342,0.8191781,7.676712,0.38356164,0.23561644
0.7726027,0.02191781,2.86027397,1.32054795,0.08767123,0.030136986,2.7315068,0.45479452,0.1726027,0.04383562,0.008219178,1.6191781,0.23561644,54.0821918,3.44383562,NA,0.249315068,0.01917808,3.0712329,0.879452055,2.463013699,0.1315068,0.4027397,0.230137,0.05205479,0.42191781,18.67945,0.45753425,98.6739726,9.83013699,0.0109589,0.1260274,0.02191781,0.032876712,1.030136986,0.6767123,0.9424658,2.657534,0.24931507,0.31506849
1.263014,NA,0.8,2.04109589,NA,NA,4.5835616,0.29041096,0.1452055,0.15342466,NA,0.2273973,0.10684932,0.8931507,0.64109589,1.487671,NA,0.01643836,0.309589,0.194520548,0.808219178,0.3424658,0.5506849,0.01917808,NA,0.39178082,1.473973,0.07945205,41.29589041,0.09315068,NA,NA,NA,0.068493151,3.597260274,0.09041096,0.1178082,0.5150685,0.02465753,0.03013699
1.172603,0.07671233,62.54520548,0.24657534,0.06027397,0.063013699,5.2657534,55.77534247,0.4,8.31780822,NA,3.4246575,13.67671233,7.3041096,0.36712329,0.06575342,0.021917808,1109.942,0.7808219,0.049315068,0.178082192,0.2767123,0.1616438,0.005479452,0.1369863,0.1260274,16.79178,0.15068493,8.86575342,0.05205479,NA,0.05753425,0.17534247,0.191780822,12.35890411,0.1753425,0.4520548,3.643836,0.2109589,0.15342466
8.032877,37.67123288,3.59452055,5.56986301,14.33972603,8.142465753,15.7342466,18.10136986,45.06849,6.35068493,5.767123288,253.4191781,2.95342466,38.8438356,2.29589041,1.356164,0.378082192,0.5260274,6913.6575342,4.090410959,6.37260274,38.06575,0.6767123,72.64384,7.97260274,3.92876712,70.32055,164.51780822,16.22739726,8.23287671,157.7178,123.4822,2.05205479,6.764383562,2.838356164,415.2986,354.539726,331.8932,65.39726027,47.22739726
0.06027397,0.02739726,1.42465753,0.89863014,0.10410959,0.035616438,12.939726,1.7369863,0.8109589,0.20821918,0.010958904,1.3616438,0.21643836,33.3863014,1.18356164,0.890411,0.191780822,0.02191781,5.5643836,NA,1.104109589,0.1808219,0.109589,0.169863,0.05205479,0.43835616,18.16986,0.92328767,4.66849315,9.06027397,0.03835616,0.2219178,0.01643836,0.131506849,1.008219178,0.7561644,2.1589041,4.915068,0.37808219,0.50958904
4.342466,1.15616438,21.03013699,31.4109589,0.1369863,1.367123288,91.4164384,13.67123288,3.723288,33.81643836,0.002739726,8.7232877,20.18630137,17,59.46575342,1.180822,0.536986301,0.07671233,8.0383562,1.021917808,NA,1.268493,17.61644,0.7726027,1.38630137,26.90684932,5.920548,2.98356164,88.38082192,0.71506849,0.139726,0.1287671,0.02191781,6.668493151,10.342465753,4.419178,3.4876712,13.2137,1.06575342,1.2630137
