"origin","destination","value"
"COG","BEN",1849.3586509747
"ERI","BEN",4115.70568379729
"ETH","BEN",4155.22186930725
"GAB","BEN",1552.37270034683
"GHA","BEN",437.4391807289
"GIN","BEN",1479.8564100738
"GMB","BEN",2018.30914695924
"GNB","BEN",1948.01105267246
"GNQ","BEN",1255.05787090118
"KEN","BEN",4076.60744719994
"LBR","BEN",1344.91775932594
"LSO","BEN",5234.52666981674
"MLI","BEN",1078.8593333326
"MOZ","BEN",4759.95703242249
"MRT","BEN",1841.54929955271
"MWI","BEN",4391.7725036598
"NAM","BEN",3901.39273474903
"NER","BEN",1164.95084866509
"NGA","BEN",641.049014690024
"RWA","BEN",3336.18365107407
"SEN","BEN",1943.75802801163
"SLE","BEN",1578.1311055306
"SOM","BEN",4860.95183478783
"SSD","BEN",3130.34673041791
"SWZ","BEN",5176.56903081648
"TCD","BEN",1923.92276183534
"TGO","BEN",195.937324370379
"TZA","BEN",4049.71847492919
"UGA","BEN",3461.33589850039
"ZAF","BEN",4996.93778162705
"ZMB","BEN",3829.82401979495
"ZWE","BEN",4423.17402042754
"AGO","BFA",3465.32743480921
"BDI","BFA",3932.64910816416
"BEN","BFA",541.811042836537
"BFA","BFA",0
"BWA","BFA",4777.18564470285
"CAF","BFA",2555.21931873673
"CIV","BFA",669.816590378692
"CMR","BFA",1772.38548430789
"COD","BFA",3286.72394650222
"COG","BFA",2388.54773123357
"ERI","BFA",4534.80433546568
"ETH","BFA",4627.37320828267
"GAB","BFA",2081.24044078869
"GHA","BFA",484.665725333521
"GIN","BFA",1041.69405557244
"GMB","BFA",1523.18364213499
"GNB","BFA",1474.68523044243
"GNQ","BFA",1788.54248309218
"KEN","BFA",4593.77591331513
"LBR","BFA",1062.44799966774
"LSO","BFA",5734.38067089408
"MLI","BFA",597.371433079376
"MOZ","BFA",5298.98884987328
"MRT","BFA",1305.50059811847
"MWI","BFA",4932.81407685265
"NAM","BFA",4369.64461616826
"NER","BFA",1361.8935141153
"NGA","BFA",1136.98667973199
"RWA","BFA",3871.08903576689
"SEN","BFA",1434.6546512003
"SLE","BFA",1191.9056692412
"SOM","BFA",5345.34569173768
"SSD","BFA",3618.00585101305
"SWZ","BFA",5693.20654630874
"TCD","BFA",2297.98614374881
"TGO","BFA",516.498340147037
"TZA","BFA",4588.45127026612
"UGA","BFA",3981.21128525776
"ZAF","BFA",5486.66058407479
"ZMB","BFA",4365.19206093844
"ZWE","BFA",4951.85850196789
"AGO","BWA",1315.64350323537
"BDI","BWA",2204.88572149114
"BEN","BWA",4274.50167968665
"BFA","BWA",4777.18564470285
"BWA","BWA",0
"CAF","BWA",3222.30603146269
"CIV","BWA",4660.3514207439
"CMR","BWA",3338.55023194313
"COD","BWA",2151.83365854242
"COG","BWA",2560.71062567947
"ERI","BWA",4503.10716074123
"ETH","BWA",3853.56552761525
"GAB","BWA",2749.79566214792
"GHA","BWA",4361.4631060172
"GIN","BWA",5306.40497325601
"GMB","BWA",5898.32364987102
"GNB","BWA",5759.11637269904
"GNQ","BWA",3053.08255734195
"KEN","BWA",2976.28604646472
"LBR","BWA",4874.88348794994
"LSO","BWA",961.257349212891
"MLI","BWA",5351.73159895654
"MOZ","BWA",1426.27257861392
"MRT","BWA",6064.77642155976
"MWI","BWA",1508.45341334571
"NAM","BWA",736.882386687472
"NER","BWA",4693.03529860694
"NGA","BWA",3945.52426359956
"RWA","BWA",2346.85262649066
"SEN","BWA",5892.71064691242
"SLE","BWA",5237.85682559878
"SOM","BWA",3985.28619177562
"SSD","BWA",3358.71949092816
"SWZ","BWA",984.649968121388
"TCD","BWA",4213.95114907325
"TGO","BWA",4260.70955076113
"TZA","BWA",2146.60411632336
"UGA","BWA",2802.35466014213
"ZAF","BWA",772.788724403788
"ZMB","BWA",1067.6098479173
"ZWE","BWA",760.621153879074
"AGO","CAF",2123.61137917902
"BDI","CAF",1524.83470127841
"BEN","CAF",2048.10605633311
"BFA","CAF",2555.21931873673
"BWA","CAF",3222.30603146269
"CAF","CAF",0
"CIV","CAF",2902.41659427401
"CMR","CAF",867.277321027372
"COD","CAF",1105.05835648393
"COG","CAF",1012.32552801154
"ERI","CAF",2269.0171617486
"ETH","CAF",2146.25271175895
"GAB","CAF",1254.34590254863
"GHA","CAF",2419.36876620419
"GIN","CAF",3522.98991744815
"GMB","CAF",4065.42945617928
"GNB","CAF",3995.60716992141
"GNQ","CAF",1251.87165662478
"KEN","CAF",2042.23641511697
"LBR","CAF",3316.41350335766
"LSO","CAF",4118.11189010001
