"iso_code","peak_start","peak_date","peak_stop","reported_cases","outbreak_interval_days"
"UGA",2024-05-14,2024-05-16,2024-05-18,7,4
"UGA",2025-01-06,2025-01-08,2025-01-10,9,4
"UGA",2025-07-05,2025-07-10,2025-07-15,15,10
"ZMB",2016-02-01,2016-02-15,2016-03-15,12,43
"ZMB",2017-12-15,2018-01-11,2018-02-28,16,75
"ZMB",2023-06-01,2023-06-15,2023-07-01,8,30
"ZMB",2023-12-24,2024-01-15,2024-02-13,451,51
"ZMB",2025-02-01,2025-02-15,2025-03-01,9,28
"ZWE",2018-08-30,2018-09-17,2018-10-07,330,38
"ZWE",2023-05-19,2023-05-29,2023-06-12,61,24
"ZWE",2023-12-15,2024-01-14,2024-02-13,298,60
"ZWE",2025-03-01,2025-03-15,2025-04-01,7,31
